ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
50206,383478,1-BR,71%-80%,2,"1,245","1,245","1,245",327.5,655,0
50206,383478,2-BR,71%-80%,4,"1,501","1,501","1,501",946,"1,333",0
50206,383478,3-BR,71%-80%,1,"1,734","1,734","1,734",843,843,843
50294,87096,1-BR,71%-80%,1,,,,,,
50294,87096,2-BR,71%-80%,23,,,,,,
50294,87096,3-BR,71%-80%,7,,,,,,
50424,552683,3-BR,71%-80%,1,,,,,,
50424,594559,2-BR,71%-80%,1,,,,,,
50424,533227,2-BR,71%-80%,1,,,,,,
50424,531912,2-BR,71%-80%,1,,,,,,
50424,565015,3-BR,71%-80%,1,,,,,,
50424,529586,3-BR,71%-80%,1,,,,,,
50424,532963,2-BR,71%-80%,1,,,,,,
50424,553308,3-BR,71%-80%,1,,,,,,
50424,532806,2-BR,71%-80%,1,,,,,,
50497,806842,1-BR,71%-80%,10,,,,,,
50497,806842,2-BR,71%-80%,9,,,,,,
50497,806842,3-BR,71%-80%,2,,,,,,
50497,806842,STUDIO,71%-80%,2,,,,,,
50583,217149,1-BR,71%-80%,28,,,,850,850,850
50583,217149,2-BR,71%-80%,42,,,,"1,011","1,011","1,011"
50583,217149,3-BR,71%-80%,28,,,,"1,178","1,178","1,178"
50583,217149,STUDIO,71%-80%,14,,,,697,697,697
50801,6603,1-BR,71%-80%,10,"1,251","1,350","1,061","1,028.5","1,084",210
50801,6603,2-BR,71%-80%,6,"1,365","1,893","1,191",868,"1,589",767
50804,6529,2-BR,71%-80%,6,,,,,,
50804,6529,3-BR,71%-80%,5,,,,,,
50805,11576,2-BR,71%-80%,3,,,,,,
50806,11247,1-BR,71%-80%,6,,,,,,
50808,11113,4-BR,71%-80%,2,,,,,,
50820,11252,1-BR,71%-80%,3,,,,,,
50820,11252,2-BR,71%-80%,6,,,,,,
50820,11252,3-BR,71%-80%,3,,,,,,
50820,11252,STUDIO,71%-80%,3,,,,,,
50821,6426,3-BR,71%-80%,5,,,,,,
